League,Team,Player,MarketValueEUR
Premier League,Arsenal,Kai Havertz,55000000
Premier League,Aston Villa,Emiliano Martínez,15000000
Premier League,Aston Villa,Marco Bizot,4000000
Premier League,Aston Villa,Matty Cash,22000000
Premier League,Aston Villa,Victor Lindelöf,15000000
Premier League,Aston Villa,Ezri Konsa,35000000
Premier League,Aston Villa,Tyrone Mings,4000000
Premier League,Aston Villa,Lucas Digne,8000000
Premier League,Aston Villa,Pau Torres,25000000
Premier League,Aston Villa,Andrés García,7000000
Premier League,Aston Villa,Ian Maatsen,25000000
Premier League,Aston Villa,Ross Barkley,5000000
Premier League,Aston Villa,John McGinn,15000000
Premier League,Aston Villa,Youri Tielemans,35000000
Premier League,Aston Villa,Emiliano Buendía,18000000
Premier League,Aston Villa,Amadou Onana,42000000
Premier League,Aston Villa,Lamare Bogarde,12000000
Premier League,Aston Villa,Boubacar Kamara,40000000
Premier League,Aston Villa,Ollie Watkins,30000000
Premier League,Aston Villa,Morgan Rogers,70000000
Premier League,Brentford,Caoimhín Kelleher,22000000
Premier League,Brentford,Hákon Valdimarsson,2500000
Premier League,Brentford,Ellery Balcombe,400000
Premier League,Brentford,Aaron Hickey,28000000
Premier League,Brentford,Rico Henry,15000000
Premier League,Brentford,Sepp van den Berg,28000000
Premier League,Brentford,Ethan Pinnock,4000000
Premier League,Brentford,Kristoffer Ajer,16000000
Premier League,Brentford,Nathan Collins,25000000
Premier League,Brentford,Michael Kayode,25000000
Premier League,Brentford,Jordan Henderson,2000000
Premier League,Brentford,Kevin Schade,22000000
Premier League,Brentford,Mathias Jensen,28000000
Premier League,Brentford,Josh Dasilva,10000000
Premier League,Brentford,Fábio Carvalho,14000000
Premier League,Brentford,Antoni Milambo,6000000
Premier League,Brentford,Mikkel Damsgaard,10000000
Premier League,Brentford,Vitaly Janelt,18000000
Premier League,Brentford,Igor Thiago,25000000
Premier League,Brentford,Reiss Nelson,15000000
Premier League,Brentford,Dango Ouattara,35000000
Premier League,Brentford,Keane Lewis-Potter,15000000
Premier League,Brighton & Hove Albion,Carl Rushworth,6000000
Premier League,Brighton & Hove Albion,Bart Verbruggen,35000000
Premier League,Brighton & Hove Albion,Jason Steele,750000
Premier League,Brighton & Hove Albion,Tom McGill,500000
Premier League,Brighton & Hove Albion,Pascal Struijk,18000000
Premier League,Brighton & Hove Albion,Eiran Cashin,7000000
Premier League,Brighton & Hove Albion,Igor Julio,15000000
Premier League,Brighton & Hove Albion,Lewis Dunk,4000000
Premier League,Brighton & Hove Albion,Olivier Boscagli,18000000
Premier League,Brighton & Hove Albion,Maxim De Cuyper,22000000
Premier League,Brighton & Hove Albion,Facundo Buonanotte,18000000
Premier League,Brighton & Hove Albion,Amario Cozier-Duberry,3000000
Premier League,Brighton & Hove Albion,Malick Yalcouyé,14000000
Premier League,Brighton & Hove Albion,Jack Hinshelwood,22000000
Premier League,Brighton & Hove Albion,Carlos Baleba,60000000
Premier League,Brighton & Hove Albion,Kaoru Mitoma,30000000
Premier League,Brighton & Hove Albion,Diego Gómez,25000000
Premier League,Brighton & Hove Albion,Yasin Ayari,30000000
Premier League,Brighton & Hove Albion,Mats Wieffer,25000000
Premier League,Brighton & Hove Albion,Mark O'Mahony,450000
Premier League,Brighton & Hove Albion,Stefanos Tzimas,1800000
Premier League,Brighton & Hove Albion,Georginio Rutter,32000000
Premier League,Brighton & Hove Albion,Yankuba Minteh,40000000
Premier League,Brighton & Hove Albion,Danny Welbeck,4000000
Premier League,Chelsea,Robert Sánchez,22000000
Premier League,Chelsea,Filip Jørgensen,15000000
Premier League,Chelsea,Teddy Sharman-Lowe,300000
Premier League,Chelsea,Tosin Adarabioyo,20000000
Premier League,Chelsea,Benoît Badiashile,18000000
Premier League,Chelsea,Levi Colwill,50000000
Premier League,Chelsea,Mamadou Sarr,25000000
Premier League,Chelsea,Jorrel Hato,35000000
Premier League,Chelsea,Trevoh Chalobah,35000000
Premier League,Chelsea,Reece James,50000000
Premier League,Chelsea,Malo Gusto,35000000
Premier League,Chelsea,Wesley Fofana,28000000
Premier League,Chelsea,Josh Acheampong,20000000
Premier League,Chelsea,Enzo Fernández,85000000
Premier League,Chelsea,Cole Palmer,120000000
Premier League,Chelsea,Dário Essugo,3500000
Premier League,Chelsea,Andrey Santos,40000000
Premier League,Chelsea,Moisés Caicedo,110000000
Premier League,Chelsea,Romeo Lavia,30000000
Premier League,Chelsea,Reggie Walsh,500000
Premier League,Chelsea,Ollie Harrison,300000
Premier League,Chelsea,Pedro Neto,60000000
Premier League,Chelsea,Liam Delap,7000000
Premier League,Chelsea,Jamie Gittens,40000000
Premier League,Chelsea,João Pedro,65000000
Premier League,Chelsea,Marc Guiu,7500000
Premier League,Chelsea,Alejandro Garnacho,45000000
Premier League,Coventry City,Bobby Thomas,2000000
Premier League,Coventry City,Luke Woolfenden,2000000
Premier League,Coventry City,Frank Onyeka,7000000
Premier League,Coventry City,Matt Grimes,7000000
Premier League,Coventry City,Ellis Simms,6000000
Premier League,Crystal Palace,Dean Henderson,28000000
Premier League,Crystal Palace,Remi Matthews,300000
Premier League,Crystal Palace,Walter Benítez,5000000
Premier League,Crystal Palace,Tayo Adaramola,800000
Premier League,Crystal Palace,Daniel Muñoz,27000000
Premier League,Crystal Palace,Tyrick Mitchell,25000000
Premier League,Crystal Palace,Maxence Lacroix,35000000
Premier League,Crystal Palace,Nathaniel Clyne,1500000
Premier League,Crystal Palace,Jaydee Canvot,20000000
Premier League,Crystal Palace,Borna Sosa,4000000
Premier League,Crystal Palace,Chris Richards,25000000
Premier League,Crystal Palace,David Ozoh,1000000
Premier League,Crystal Palace,Romain Esse,10000000
Premier League,Crystal Palace,Jefferson Lerma,8000000
Premier League,Crystal Palace,Daichi Kamada,12000000
Premier League,Crystal Palace,Will Hughes,6000000
Premier League,Crystal Palace,Adam Wharton,60000000
Premier League,Crystal Palace,Justin Devenny,8000000
Premier League,Crystal Palace,Ismaïla Sarr,35000000
Premier League,Crystal Palace,Eddie Nketiah,16000000
Premier League,Crystal Palace,Brennan Johnson,48000000
Premier League,Crystal Palace,Jean-Philippe Mateta,40000000
Premier League,Crystal Palace,Jørgen Strand Larsen,40000000
Premier League,Everton,Jordan Pickford,15000000
Premier League,Everton,Mark Travers,4000000
Premier League,Everton,Tom King,150000
Premier League,Everton,Nathan Patterson,10000000
Premier League,Everton,Michael Keane,4000000
Premier League,Everton,James Tarkowski,7000000
Premier League,Everton,Jake O'Brien,16000000
Premier League,Everton,Vitaliy Mykolenko,25000000
Premier League,Everton,Seamus Coleman,300000
Premier League,Everton,Jarrad Branthwaite,45000000
Premier League,Everton,Adam Aznou,7000000
Premier League,Everton,Reece Welch,250000
Premier League,Everton,Jack Grealish,25000000
Premier League,Everton,Tyler Dibling,30000000
Premier League,Everton,Kiernan Dewsbury-Hall,28000000
Premier League,Everton,Carlos Alcaraz,15000000
Premier League,Everton,Idrissa Gueye,1000000
Premier League,Everton,Merlin Röhl,16000000
Premier League,Everton,James Garner,25000000
Premier League,Everton,Tim Iroegbunam,12000000
Premier League,Everton,Harrison Armstrong,1200000
Premier League,Everton,Dwight McNeil,20000000
Premier League,Everton,Beto,20000000
Premier League,Everton,Iliman Ndiaye,45000000
Premier League,Everton,Tyrique George,22000000
Premier League,Fulham,Bernd Leno,8000000
Premier League,Fulham,Benjamin Lecomte,3500000
Premier League,Fulham,Kenny Tete,11000000
Premier League,Fulham,Calvin Bassey,28000000
Premier League,Fulham,Joachim Andersen,25000000
Premier League,Fulham,Jorge Cuenca,4000000
Premier League,Fulham,Timothy Castagne,10000000
Premier League,Fulham,Issa Diop,10000000
Premier League,Fulham,Antonee Robinson,30000000
Premier League,Fulham,Luke Harris,1000000
Premier League,Fulham,Harrison Reed,3000000
Premier League,Fulham,Tom Cairney,750000
Premier League,Fulham,Oscar Bobb,25000000
Premier League,Fulham,Sander Berge,25000000
Premier League,Fulham,Alex Iwobi,25000000
Premier League,Fulham,Sasa Lukic,12000000
Premier League,Fulham,Josh King,20000000
Premier League,Fulham,Ryan Sessegnon,20000000
Premier League,Fulham,Emile Smith Rowe,22000000
Premier League,Fulham,Jonah Kusi-Asare,4000000
Premier League,Fulham,Harry Wilson,20000000
Premier League,Fulham,Rodrigo Muniz,20000000
Premier League,Middlesbrough,Matt Targett,3500000
Premier League,Middlesbrough,Alfie Jones,2500000
Premier League,Middlesbrough,Dael Fry,5000000
Premier League,Middlesbrough,Luke Ayling,1800000
Premier League,Middlesbrough,Finley Munroe,100000
Premier League,Middlesbrough,Riley McGree,4000000
Premier League,Middlesbrough,Leo Castledine,900000
Premier League,Middlesbrough,David Strelec,1100000
Premier League,Middlesbrough,Alex Gilbert,100000
Premier League,Middlesbrough,Micah Hamilton,2000000
Premier League,Leeds United,Lucas Perri,6000000
Premier League,Leeds United,Karl Darlow,1000000
Premier League,Leeds United,Jayden Bogle,3800000
Premier League,Leeds United,Gabriel Gudmundsson,15000000
Premier League,Leeds United,Joe Rodon,8000000
Premier League,Leeds United,Jaka Bijol,18000000
Premier League,Leeds United,Sebastiaan Bornauw,5000000
Premier League,Leeds United,James Justin,12000000
Premier League,Leeds United,Sam Byram,1000000
Premier League,Leeds United,Ethan Ampadu,12000000
Premier League,Leeds United,Daniel James,12000000
Premier League,Leeds United,Sean Longstaff,18000000
Premier League,Leeds United,Brenden Aaronson,12000000
Premier League,Leeds United,Anton Stach,20000000
Premier League,Leeds United,Ilia Gruev,5000000
Premier League,Leeds United,Jack Harrison,10000000
Premier League,Leeds United,Joe Gelhardt,7000000
Premier League,Leeds United,Largie Ramazani,5000000
Premier League,Leeds United,Dominic Calvert-Lewin,15000000
Premier League,Leeds United,Joël Piroe,12000000
Premier League,Leeds United,Lukas Nmecha,8000000
Premier League,Leeds United,Noah Okafor,18000000
Premier League,Leeds United,Wilfried Gnonto,18000000
Premier League,Liverpool,Giorgi Mamardashvili,28000000
Premier League,Liverpool,Freddie Woodman,5000000
Premier League,Liverpool,Harvey Davies,300000
Premier League,Liverpool,Joe Gomez,15000000
Premier League,Liverpool,Virgil van Dijk,18000000
Premier League,Liverpool,Ibrahima Konaté,45000000
Premier League,Liverpool,Milos Kerkez,40000000
Premier League,Liverpool,Conor Bradley,30000000
Premier League,Liverpool,Jeremie Frimpong,38000000
Premier League,Liverpool,Rhys Williams,1800000
Premier League,Liverpool,Calvin Ramsay,4000000
Premier League,Liverpool,Amara Nallo,1000000
Premier League,Liverpool,Wataru Endo,5000000
Premier League,Liverpool,Florian Wirtz,110000000
Premier League,Liverpool,Dominik Szoboszlai,85000000
Premier League,Liverpool,Alexis Mac Allister,85000000
Premier League,Liverpool,Curtis Jones,40000000
Premier League,Liverpool,Ryan Gravenberch,90000000
Premier League,Liverpool,Trey Nyoni,6000000
Premier League,Liverpool,Stefan Bajcetic,7000000
Premier League,Liverpool,James McConnell,2000000
Premier League,Liverpool,Alexander Isak,120000000
Premier League,Liverpool,Mohamed Salah,30000000
Premier League,Liverpool,Federico Chiesa,18000000
Premier League,Liverpool,Cody Gakpo,70000000
Premier League,Liverpool,Hugo Ekitike,85000000
Premier League,Liverpool,Kaide Gordon,1200000
Premier League,Liverpool,Rio Ngumoha,15000000
Premier League,Liverpool,Jayden Danns,800000
Premier League,Manchester City,James Trafford,18000000
Premier League,Manchester City,Marcus Bettinelli,500000
Premier League,Manchester City,Gianluigi Donnarumma,45000000
Premier League,Manchester City,Rúben Dias,60000000
Premier League,Manchester City,John Stones,18000000
Premier League,Manchester City,Nathan Aké,18000000
Premier League,Manchester City,Marc Guéhi,55000000
Premier League,Manchester City,Rayan Aït-Nouri,40000000
Premier League,Manchester City,Josko Gvardiol,70000000
Premier League,Manchester City,Nico O'Reilly,40000000
Premier League,Manchester City,Abdukodir Khusanov,35000000
Premier League,Manchester City,Max Alleyne,800000
Premier League,Manchester City,Rico Lewis,35000000
Premier League,Manchester City,Tijjani Reijnders,65000000
Premier League,Manchester City,Mateo Kovacic,15000000
Premier League,Manchester City,Rayan Cherki,50000000
Premier League,Manchester City,Nico González,45000000
Premier League,Manchester City,Rodri,75000000
Premier League,Manchester City,Bernardo Silva,27000000
Premier League,Manchester City,Matheus Nunes,38000000
Premier League,Manchester City,Phil Foden,150000000
Premier League,Manchester City,Omar Marmoush,65000000
Premier League,Manchester City,Erling Haaland,200000000
Premier League,Manchester City,Jérémy Doku,65000000
Premier League,Manchester City,Savinho,45000000
Premier League,Manchester City,Antoine Semenyo,65000000
Premier League,Manchester United,Tom Heaton,150000
Premier League,Manchester United,Diogo Dalot,28000000
Premier League,Manchester United,Noussair Mazraoui,22000000
Premier League,Manchester United,Matthijs de Ligt,65000000
Premier League,Manchester United,Harry Maguire,18000000
Premier League,Manchester United,Lisandro Martínez,50000000
Premier League,Manchester United,Tyrell Malacia,5000000
Premier League,Manchester United,Patrick Dorgu,30000000
Premier League,Manchester United,Leny Yoro,55000000
Premier League,Manchester United,Luke Shaw,10000000
Premier League,Manchester United,Ayden Heaven,10000000
Premier League,Manchester United,Tyler Fredricson,250000
Premier League,Manchester United,Mason Mount,32000000
Premier League,Manchester United,Bruno Fernandes,40000000
Premier League,Manchester United,Casemiro,8000000
Premier League,Manchester United,Manuel Ugarte,30000000
Premier League,Manchester United,Kobbie Mainoo,40000000
Premier League,Manchester United,Jack Fletcher,1000000
Premier League,Manchester United,Jack Moorhouse,100000
Premier League,Manchester United,Matheus Cunha,45000000
Premier League,Manchester United,Joshua Zirkzee,25000000
Premier League,Manchester United,Amad Diallo,50000000
Premier League,Manchester United,Bryan Mbeumo,40000000
Premier League,Manchester United,Benjamin Sesko,50000000
Premier League,Manchester United,Chido Obi,5000000
Premier League,Manchester United,Bendito Mantato,400000
Premier League,Newcastle United,Nick Pope,7000000
Premier League,Newcastle United,John Ruddy,100000
Premier League,Newcastle United,Mark Gillespie,150000
Premier League,Newcastle United,Aaron Ramsdale,12000000
Premier League,Newcastle United,Aidan Harris,200000
Premier League,Newcastle United,Adam Harrison,100000
Premier League,Newcastle United,Kieran Trippier,2500000
Premier League,Newcastle United,Lewis Hall,32000000
Premier League,Newcastle United,Sven Botman,35000000
Premier League,Newcastle United,Fabian Schär,6000000
Premier League,Newcastle United,Malick Thiaw,25000000
Premier League,Newcastle United,Emil Krafth,1500000
Premier League,Newcastle United,Tino Livramento,40000000
Premier League,Newcastle United,Dan Burn,5000000
Premier League,Newcastle United,Alex Murphy,300000
Premier League,Newcastle United,Joelinton,30000000
Premier League,Newcastle United,Sandro Tonali,75000000
Premier League,Newcastle United,Harvey Barnes,32000000
Premier League,Newcastle United,Jacob Murphy,15000000
Premier League,Newcastle United,Joe Willock,16000000
Premier League,Newcastle United,Bruno Guimarães,75000000
Premier League,Newcastle United,Jacob Ramsey,35000000
Premier League,Newcastle United,Lewis Miley,20000000
Premier League,Newcastle United,Yoane Wissa,28000000
Premier League,Newcastle United,Anthony Gordon,60000000
Premier League,Newcastle United,William Osula,3000000
Premier League,Newcastle United,Anthony Elanga,50000000
Premier League,Newcastle United,Nick Woltemade,70000000
Premier League,Nottingham Forest,Matz Sels,6000000
Premier League,Nottingham Forest,Tyler Bindon,1500000
Premier League,Nottingham Forest,Neco Williams,17000000
Premier League,Nottingham Forest,Morato,14000000
Premier League,Nottingham Forest,Murillo,55000000
Premier League,Nottingham Forest,Nikola Milenkovic,30000000
Premier League,Nottingham Forest,Ola Aina,20000000
Premier League,Nottingham Forest,Nicolò Savona,15000000
Premier League,Nottingham Forest,Zach Abbott,300000
Premier League,Nottingham Forest,Ibrahim Sangaré,22000000
Premier League,Nottingham Forest,Morgan Gibbs-White,65000000
Premier League,Nottingham Forest,Nicolás Domínguez,16000000
Premier League,Nottingham Forest,Ryan Yates,10000000
Premier League,Nottingham Forest,James McAtee,23000000
Premier League,Nottingham Forest,Callum Hudson-Odoi,30000000
Premier League,Nottingham Forest,Taiwo Awoniyi,12000000
Premier League,Nottingham Forest,Chris Wood,8000000
Premier League,Nottingham Forest,Dan Ndoye,40000000
Premier League,Nottingham Forest,Omari Hutchinson,30000000
Premier League,Sunderland,Simon Moore,300000
Premier League,Sunderland,Robin Roefs,600000
Premier League,Sunderland,Dennis Cirkin,2200000
Premier League,Sunderland,Omar Alderete,12000000
Premier League,Sunderland,Reinildo Mandava,5000000
Premier League,Sunderland,Nordi Mukiele,15000000
Premier League,Sunderland,Habib Diarra,32000000
Premier League,Sunderland,Noah Sadiki,5000000
Premier League,Sunderland,Enzo Le Fée,20000000
Premier League,Sunderland,Granit Xhaka,10000000
Premier League,Sunderland,Chemsdine Talbi,22000000
Premier League,Sunderland,Brian Brobbey,20000000
Premier League,Sunderland,Eliezer Mayenda,700000
Premier League,Sunderland,Romaine Mundle,1500000
Premier League,Sunderland,Wilson Isidor,18000000
Premier League,Sunderland,Bertrand Traoré,5000000
Premier League,Sunderland,Ahmed Abdullahi,1000000
Premier League,Tottenham Hotspur,Guglielmo Vicario,30000000
Premier League,Tottenham Hotspur,Antonín Kinsky,13000000
Premier League,Tottenham Hotspur,Brandon Austin,500000
Premier League,Tottenham Hotspur,Radu Dragusin,25000000
Premier League,Tottenham Hotspur,Kevin Danso,22000000
Premier League,Tottenham Hotspur,Destiny Udogie,40000000
Premier League,Tottenham Hotspur,Cristian Romero,60000000
Premier League,Tottenham Hotspur,Pedro Porro,40000000
Premier League,Tottenham Hotspur,Djed Spence,8000000
Premier League,Tottenham Hotspur,Ben Davies,10000000
Premier League,Tottenham Hotspur,Micky van de Ven,55000000
Premier League,Tottenham Hotspur,João Palhinha,25000000
Premier League,Tottenham Hotspur,Yves Bissouma,15000000
Premier League,Tottenham Hotspur,James Maddison,30000000
Premier League,Tottenham Hotspur,Archie Gray,6000000
Premier League,Tottenham Hotspur,Lucas Bergvall,40000000
Premier League,Tottenham Hotspur,Mohammed Kudus,55000000
Premier League,Tottenham Hotspur,Dejan Kulusevski,45000000
Premier League,Tottenham Hotspur,Conor Gallagher,35000000
Premier League,Tottenham Hotspur,Pape Matar Sarr,35000000
Premier League,Tottenham Hotspur,Rodrigo Bentancur,27000000
Premier League,Tottenham Hotspur,Callum Olusesi,500000
Premier League,Tottenham Hotspur,Richarlison,28000000
Premier League,Tottenham Hotspur,Mathys Tel,30000000
Premier League,Tottenham Hotspur,Dominic Solanke,40000000
Premier League,Tottenham Hotspur,Wilson Odobert,22000000
Premier League,Tottenham Hotspur,Randal Kolo Muani,25000000
Premier League,Tottenham Hotspur,James Wilson,1200000
La Liga,Alaves,Antonio Sivera,6000000
La Liga,Alaves,Raúl Fernández,200000
La Liga,Alaves,Grégoire Swiderski,150000
La Liga,Alaves,Jon Pacheco,5000000
La Liga,Alaves,Nahuel Tenaglia,3000000
La Liga,Alaves,Victor Parada,200000
La Liga,Alaves,Egoitz Muñoz,200000
La Liga,Alaves,Denis Suárez,1500000
La Liga,Alaves,Ander Guevara,5000000
La Liga,Alaves,Antonio Blanco,10000000
La Liga,Alaves,Carles Aleñá,3000000
La Liga,Alaves,Jon Guridi,4000000
La Liga,Alaves,Pablo Ibáñez,3000000
La Liga,Alaves,Carlos Protesoni,1000000
La Liga,Alaves,Toni Martínez,5000000
La Liga,Alaves,Lucas Boyé,7000000
La Liga,Alaves,Abde Rebbach,1500000
La Liga,Atletico Madrid,Juan Musso,5000000
La Liga,Atletico Madrid,Jan Oblak,17000000
La Liga,Atletico Madrid,Mario de Luis,400000
La Liga,Atletico Madrid,José María Giménez,22000000
La Liga,Atletico Madrid,Matteo Ruggeri,15000000
La Liga,Atletico Madrid,Clément Lenglet,10000000
La Liga,Atletico Madrid,Nahuel Molina,15000000
La Liga,Atletico Madrid,Dávid Hancko,30000000
La Liga,Atletico Madrid,Marc Pubill,4000000
La Liga,Atletico Madrid,Robin Le Normand,40000000
La Liga,Atletico Madrid,Ilias Kostis,500000
La Liga,Atletico Madrid,Javier Boñar,500000
La Liga,Atletico Madrid,Gerónimo Spina,200000
La Liga,Atletico Madrid,Johnny Cardoso,25000000
La Liga,Atletico Madrid,Koke,7000000
La Liga,Atletico Madrid,Pablo Barrios,60000000
La Liga,Atletico Madrid,Álex Baena,40000000
La Liga,Atletico Madrid,Thiago Almada,20000000
La Liga,Atletico Madrid,Marcos Llorente,22000000
La Liga,Atletico Madrid,Antoine Griezmann,11000000
La Liga,Atletico Madrid,Alexander Sørloth,20000000
La Liga,Atletico Madrid,Julián Álvarez,100000000
La Liga,Atletico Madrid,Giuliano Simeone,40000000
La Liga,Atletico Madrid,Rayane Belaid,600000
La Liga,Barcelona,Joan García,30000000
La Liga,Barcelona,Wojciech Szczesny,6000000
La Liga,Barcelona,Diego Kochen,100000
La Liga,Barcelona,Alejandro Balde,60000000
La Liga,Barcelona,Ronald Araújo,70000000
La Liga,Barcelona,Pau Cubarsí,30000000
La Liga,Barcelona,Andreas Christensen,40000000
La Liga,Barcelona,Jules Koundé,45000000
La Liga,Barcelona,Eric García,20000000
La Liga,Barcelona,Gavi,40000000
La Liga,Barcelona,Pedri,80000000
La Liga,Barcelona,Fermín López,30000000
La Liga,Barcelona,Marc Casadó,2500000
La Liga,Barcelona,Dani Olmo,60000000
La Liga,Barcelona,Frenkie de Jong,70000000
La Liga,Barcelona,Guille Fernández,3000000
La Liga,Barcelona,Juan Hernández,400000
La Liga,Barcelona,Ferran Torres,30000000
La Liga,Barcelona,Robert Lewandowski,15000000
La Liga,Barcelona,Lamine Yamal,120000000
La Liga,Barcelona,Raphinha,50000000
La Liga,Barcelona,Marcus Rashford,40000000
La Liga,Barcelona,Roony Bardghji,10000000
La Liga,Celta Vigo,Iván Villar,1200000
La Liga,Celta Vigo,Marc Vidal,300000
La Liga,Celta Vigo,Carl Starfelt,6000000
La Liga,Celta Vigo,Óscar Mingueza,8000000
La Liga,Celta Vigo,Joseph Aidoo,4000000
La Liga,Celta Vigo,Sergio Carreira,1500000
La Liga,Celta Vigo,Javi Rueda,250000
La Liga,Celta Vigo,Marcos Alonso,2000000
La Liga,Celta Vigo,Mihailo Ristic,1000000
La Liga,Celta Vigo,Carlos Domínguez,3000000
La Liga,Celta Vigo,Yoel Lago,200000
La Liga,Celta Vigo,Javi Rodríguez,15000000
La Liga,Celta Vigo,Ilaix Moriba,3000000
La Liga,Celta Vigo,Franco Cervi,1500000
La Liga,Celta Vigo,Williot Swedberg,5000000
La Liga,Celta Vigo,Hugo Sotelo,9000000
La Liga,Celta Vigo,Hugo Álvarez,1500000
La Liga,Celta Vigo,Borja Iglesias,5000000
La Liga,Celta Vigo,Ferran Jutglà,7500000
La Liga,Celta Vigo,Iago Aspas,1800000
La Liga,Celta Vigo,Pablo Durán,250000
La Liga,Celta Vigo,Hugo Gonzalez,300000
La Liga,Elche,Matías Dituro,300000
La Liga,Elche,Iñaki Peña,8000000
La Liga,Elche,Alejandro Iturbe,2000000
La Liga,Elche,Adrià Pedrosa,4000000
La Liga,Elche,Pedro Bigas,1000000
La Liga,Elche,John Donald,1000000
La Liga,Elche,Léo Pétrot,1500000
La Liga,Elche,Víctor Chust,2000000
La Liga,Elche,Héctor Fort,10000000
La Liga,Elche,Aleix Febas,1500000
La Liga,Elche,Martim Neto,5000000
La Liga,Elche,Josan,1000000
La Liga,Elche,André Silva,6000000
La Liga,Elche,Rafa Mir,2500000
La Liga,Elche,Germán Valera,5000000
La Liga,Elche,Grady Diangana,4500000
La Liga,Elche,Álvaro Rodríguez,4000000
La Liga,Getafe,Jirí Letácek,2000000
La Liga,Getafe,David Soria,3000000
La Liga,Getafe,Jorge Benito,25000
La Liga,Getafe,Diego Ferrer,50000
La Liga,Getafe,Abdel Abqar,7500000
La Liga,Getafe,Allan Nyom,200000
La Liga,Getafe,Diego Rico,1200000
La Liga,Getafe,Kiko Femenía,1400000
La Liga,Getafe,Juan Iglesias,5000000
La Liga,Getafe,Domingos Duarte,800000
La Liga,Getafe,Ismael Bekhoucha,300000
La Liga,Getafe,Tito,325000
La Liga,Getafe,Luis Milla,3500000
La Liga,Getafe,Mario Martín,300000
La Liga,Getafe,Mauro Arambarri,10000000
La Liga,Getafe,Javi Muñoz,1500000
La Liga,Getafe,Veljko Birmancevic,3000000
La Liga,Getafe,Alberto Risco,200000
La Liga,Getafe,Hugo Solozabal,50000
La Liga,Getafe,Juanmi,1200000
La Liga,Getafe,Borja Mayoral,7500000
La Liga,Getafe,Martín Satriano,6000000
La Liga,Getafe,Joselu Pérez,100000
La Liga,Getafe,Yassin Tallal,50000
La Liga,Girona,Juan Carlos,200000
La Liga,Girona,Paulo Gazzaniga,2000000
La Liga,Girona,Marc-André ter Stegen,28000000
La Liga,Girona,Vladyslav Krapyvtsov,400000
La Liga,Girona,Hugo Rincón,250000
La Liga,Girona,Arnau Martínez,10000000
La Liga,Girona,David López,2500000
La Liga,Girona,Vitor Reis,30000000
La Liga,Girona,Daley Blind,1400000
La Liga,Girona,Álex Moreno,3500000
La Liga,Girona,Joel Roca,5000000
La Liga,Girona,Donny van de Beek,2000000
La Liga,Girona,Fran Beltrán,6000000
La Liga,Girona,Thomas Lemar,2000000
La Liga,Girona,Azzedine Ounahi,10000000
La Liga,Girona,Axel Witsel,1400000
La Liga,Girona,Iván Martín,6000000
La Liga,Girona,Ricard Artero,200000
La Liga,Girona,Portu,1500000
La Liga,Girona,Cristhian Stuani,900000
La Liga,Girona,Abel Ruiz,3000000
La Liga,Girona,Viktor Tsygankov,15000000
La Liga,Girona,Vladyslav Vanat,15000000
La Liga,Girona,Bryan Gil,12000000
